[01-Aug-2014 10:30:51 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:51 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:51 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:54 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:55 America/Sao_Paulo] PHP Notice:  Undefined offset: 1 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:55 America/Sao_Paulo] PHP Notice:  Undefined offset: 2 in C:\Supridesk\scripts\dataimport.php on line 41
[01-Aug-2014 10:30:55 America/Sao_Paulo] PHP Warning:  checkdate() expects parameter 2 to be long, string given in C:\Supridesk\scripts\dataimport.php on line 41
